Date,Description,Category,Amount
2025-04-24,"DAIRY QUEEN #12231 MONTREAL, QC",Meals & Drinks,12.97
2025-04-21,"EDIBLE.COM WWW.EDIBLEARR, GA",Gifts,80.32
2025-04-21,"POULET ROUGE COMPLEXE D. MONTREAL, QC",Meals & Drinks,16.09
2025-04-21,"SECOND CUP #9293 MONTREAL, QC",Meals & Drinks,6.84
2025-04-21,"UNIPRIX PHARMACY MONTREAL, QC",Cosmetics,13.33
2025-04-21,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,8.33
2025-04-17,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,3.44
2025-04-16,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,9.98
2025-04-15,"MYCREDSMESCERTIF CALGARY, AB",School,6.78
2025-04-15,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,4.99
2025-04-14,"Subway 15951 Montreal, QC",Meals & Drinks,15.28
2025-04-14,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,14.48
2025-04-11,"DOLLARAMA # 45 MONTREAL, QC",Miscellaneous,4.43
2025-04-11,"CARREFOUR SHERBROOKE MONTREAL, QC",Meals & Drinks,3.86
2025-04-10,"DOLLARAMA # 45 MONTREAL, QC",Miscellaneous,2.99
2025-04-10,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,7.45
2025-04-09,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.75
2025-04-08,"Etsy.com*Engraveitnow07 Toronto, ON",Gifts,63.74
2025-04-07,"PROVIGO GUILLAUME VAIL MONTREAL, QC",Food & Snacks,5.75
2025-04-07,"POULET ROUGE MCGILL MONTREAL, QC",Meals & Drinks,16.09
2025-04-07,"MATCHA ZANMAI MONTREAL, QC",Gifts,15.23
2025-04-07,"W & G RETAIL SALES INC. MONTREAL, QC",Clothing,48.92
2025-04-07,"DOLLARAMA # 45 MONTREAL, QC",Dorm necessities,17.83
2025-04-07,"DEVILLE DINERBAR MONTREAL, QC",Discretionary,43.52
2025-04-04,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.75
2025-04-04,"DOLLARAMA # 45 MONTREAL, QC",Dorm necessities,10.35
2025-04-03,"HM CA0012 Montreal, QC",Clothing,9.19
2025-04-03,"ARITZIA ST CATHERINE 1 MONTREAL, QC",Gifts,51.74
2025-04-03,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,9.78
2025-04-03,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-868.82
2025-04-02,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.38
2025-04-02,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,4.24
2025-03-31,"SQ *ACTIVATE TORONTO Toronto, ON",Activities,33.89
2025-03-31,"FORTINOS MAJOR MACKENZ MAPLE, ON",Food & Snacks,45.20
2025-03-31,"PRESTO FARE/5G6C19K788 TORONTO, ON",Transportation,3.30
2025-03-28,"DAIRY QUEEN #12231 MONTREAL, QC",Meals & Drinks,0.50
2025-03-27,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,4.01
2025-03-27,"DOLLARAMA # 45 MONTREAL, QC",Discretionary,3.25
2025-03-27,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,7.80
2025-03-25,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.75
2025-03-24,"PETIT POISSON DUMPLING MONTREAL, QC",Meals & Drinks,22.46
2025-03-24,"Subway 15951 Montreal, QC",Meals & Drinks,11.43
2025-03-24,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,11.24
2025-03-24,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,10.24
2025-03-21,"GATEAUX RI YUE MONTREAL, QC",Meals & Drinks,4.31
2025-03-20,"LEAVES HOUSE MCGILL MONTREAL, QC",Meals & Drinks,7.48
2025-03-20,"UNIPRIX LA CITE MONTREAL, QC",Cosmetics,12.64
2025-03-20,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,9.43
2025-03-19,"VIA RAIL MONTREAL, QC",Transportation,166.14
2025-03-17,"Subway 15951 Montreal, QC",Meals & Drinks,9.99
2025-03-17,"UNIPRIX LA CITE MONTREAL, QC",Cosmetics,32.83
2025-03-17,"ZEFFY-FIT MONTREAL, QC",Entertainment,36.00
2025-03-17,"Mont Sutton SUTTON, QC",Activities,16.68
2025-03-17,"SKI SUTTON INC SUTTON, QC",Activities,10.06
2025-03-17,"GERT'S BAR AND CAFE MONTREAL, QC",Entertainment,14.00
2025-03-13,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,3.78
2025-03-12,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.85
2025-03-12,"EXPRESS TOURS MCMASTERVILLE, QC",Activities,70.00
2025-03-11,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,3.99
2025-03-11,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.85
2025-03-11,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,1.73
2025-03-11,"COUCHE-TARD #1348 MONTREAL, QC",Food & Snacks,3.78
2025-03-11,"UNIPRIX LA CITE MONTREAL, QC",Cosmetics,14.94
2025-03-11,"SHOPPERS DRUG MART #12 VAUGHAN, ON",Miscellaneous,16.90
2025-03-11,"WAL-MART SUPERCENTER#1095 VAUGHAN, ON",Cosmetics,24.83
2025-03-10,"PIZZA PIZZA # 254 THORNHILL, ON",Meals & Drinks,12.96
2025-03-07,"HONK PARKING 866-675-7337, ON",Transportation,20.00
2025-03-07,"CHICK-FIL-A-RUTHERFORD CONCORD, ON",Meals & Drinks,8.12
2025-03-06,"ca.shein.com 888-8519181, ON",Clothing,48.59
2025-03-06,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-694.41
2025-03-04,"DAIRY QUEEN/OJ #12265 WOODBRIDGE, ON",Meals & Drinks,7.33
2025-03-04,"DAIRY QUEEN/OJ #12265 WOODBRIDGE, ON",Meals & Drinks,10.83
2025-03-03,"MCDONALD S #9410 WOODBRIDGE, ON",Meals & Drinks,5.41
2025-03-03,"MCDONALD S #9410 WOODBRIDGE, ON",Meals & Drinks,5.40
2025-03-03,"MCDONALD S #9410 WOODBRIDGE, ON",Meals & Drinks,8.00
2025-03-03,"MCDONALD'S #10580 Q04 MONTREAL, QC",Meals & Drinks,6.66
2025-02-28,"CARREFOUR SHERBROOKE MONTREAL, QC",Meals & Drinks,8.86
2025-02-28,"DAIRY QUEEN #12231 MONTREAL, QC",Meals & Drinks,7.07
2025-02-27,"Garage Montreal, QC",Clothing,63.12
2025-02-27,"RESTAURANT SAMMI & SOUPE MONTREAL, QC",Meals & Drinks,15.86
2025-02-25,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,10.33
2025-02-24,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,1.43
2025-02-24,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,5.28
2025-02-24,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,7.57
2025-02-24,"Subway 15951 Montreal, QC",Meals & Drinks,15.28
2025-02-24,"SECOND CUP #9293 MONTREAL, QC",Meals & Drinks,12.87
2025-02-21,"DOLLARAMA # 45 MONTREAL, QC",Dorm necessities,6.61
2025-02-21,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,8.03
2025-02-21,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,3.78
2025-02-20,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,10.67
2025-02-19,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,10.49
2025-02-19,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,4.98
2025-02-18,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,4.60
2025-02-18,"DOMINOS PIZZA #10659 514-845-2222, QC",Meals & Drinks,33.61
2025-02-18,"DOLLARAMA # 45 MONTREAL, QC",Miscellaneous,2.01
2025-02-18,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,32.65
2025-02-18,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,4.60
2025-02-18,"JEAN COUTU 381 MONTREAL, QC",Cosmetics,15.39
2025-02-14,"DOLLARAMA # 45 MONTREAL, QC",Miscellaneous,10.35
